matchup,home_team,away_team,home_spread_cons,market_total_cons,books_seen,tempo,home_pts,away_pts,proj_total,proj_margin,EDGE_spread,EDGE_total,home_cbd,away_cbd
Central Michigan Chippewas @ Loyola (Chi) Ramblers,Loyola (Chi) Ramblers,Central Michigan Chippewas,-6.0,142.58333333333334,6,65.6,65.7,61.5,127.2,4.3,10.3,-15.38,Loyola Chicago,Central Michigan
Houston Christian Huskies @ North Texas Mean Green,North Texas Mean Green,Houston Christian Huskies,-12.25,128.5,4,62.9,63.9,56.2,120.1,7.7,19.95,-8.4,North Texas,Houston Christian
Lindenwood Lions @ Northern Illinois Huskies,Northern Illinois Huskies,Lindenwood Lions,-5.8,147.16666666666666,6,67.2,63.0,63.0,125.9,0.0,5.8,-21.27,Northern Illinois,Lindenwood
Valparaiso Beacons @ Marquette Golden Eagles,Marquette Golden Eagles,Valparaiso Beacons,-17.571428571428573,147.21428571428572,7,67.0,69.7,60.6,130.3,9.1,26.67,-16.91,Marquette,Valparaiso
Wagner Seahawks @ Maryland Terrapins,Maryland Terrapins,Wagner Seahawks,-22.7,142.3,5,63.7,67.0,52.7,119.7,14.4,37.1,-22.6,Maryland,Wagner
Morehead St Eagles @ Murray St Racers,Murray St Racers,Morehead St Eagles,-17.166666666666668,158.33333333333334,6,61.9,62.4,56.2,118.6,6.1,23.27,-39.73,Murray State,Morehead State
Sam Houston St Bearkats @ Oklahoma St Cowboys,Oklahoma St Cowboys,Sam Houston St Bearkats,-13.928571428571429,168.28571428571428,7,68.1,68.6,64.7,133.3,4.0,17.93,-34.99,Oklahoma State,Sam Houston
Purdue Boilermakers @ Rutgers Scarlet Knights,Rutgers Scarlet Knights,Purdue Boilermakers,15.125,146.375,8,64.0,63.1,65.5,128.6,-2.4,-17.52,-17.78,Rutgers,Purdue
Abilene Christian Wildcats @ Pepperdine Waves,Pepperdine Waves,Abilene Christian Wildcats,0.0,135.5,5,67.1,65.2,63.6,128.8,1.6,1.6,-6.7,Pepperdine,Abilene Christian
Nicholls St Colonels @ Creighton Bluejays,Creighton Bluejays,Nicholls St Colonels,-20.5,146.5,4,66.2,68.1,60.4,128.4,7.7,28.2,-18.1,Creighton,Nicholls
Georgia Bulldogs @ Florida St Seminoles,Florida St Seminoles,Georgia Bulldogs,2.0,172.57142857142858,7,60.0,61.8,56.5,118.3,5.4,3.4,-54.27,Florida State,Georgia State
Stetson Hatters @ Grand Canyon Antelopes,Grand Canyon Antelopes,Stetson Hatters,-23.166666666666668,145.16666666666666,3,67.7,71.5,61.5,132.9,10.0,33.17,-12.27,Grand Canyon,Stetson
UConn Huskies @ Kansas Jayhawks,Kansas Jayhawks,UConn Huskies,1.8571428571428572,141.21428571428572,7,63.2,58.9,65.1,124.0,-6.1,-7.96,-17.21,Kansas City,UConn
Miami Hurricanes @ Ole Miss Rebels,Ole Miss Rebels,Miami Hurricanes,-4.5,145.5,7,68.1,73.2,63.5,136.7,9.7,14.2,-8.8,Ole Miss,Miami
Missouri Tigers @ Notre Dame Fighting Irish,Notre Dame Fighting Irish,Missouri Tigers,-0.25,150.8125,8,73.2,73.8,67.9,141.7,6.0,6.25,-9.11,Notre Dame,Missouri State
North Carolina Tar Heels @ Kentucky Wildcats,Kentucky Wildcats,North Carolina Tar Heels,-6.428571428571429,161.14285714285714,7,74.5,76.0,72.9,148.9,3.1,9.53,-12.24,Kentucky,North Carolina
Utah Utes @ California Golden Bears,California Golden Bears,Utah Utes,-9.285714285714286,153.64285714285714,7,66.6,68.3,61.9,130.2,6.4,15.69,-23.44,California,Utah Tech
Saint Louis Billikens @ Loyola Marymount Lions,Loyola Marymount Lions,Saint Louis Billikens,6.5,145.5,6,67.2,65.0,64.8,129.7,0.2,-6.3,-15.8,Loyola Marymount,Saint Louis
UC San Diego Tritons @ Nevada Wolf Pack,Nevada Wolf Pack,UC San Diego Tritons,-4.5,150.83333333333334,6,63.2,60.9,61.7,122.6,-0.8,3.7,-28.23,Nevada,UC San Diego
USC Trojans @ Oregon Ducks,Oregon Ducks,USC Trojans,1.4285714285714286,156.0,7,65.2,65.7,64.8,130.5,0.9,-0.53,-25.5,Oregon State,USC
